"runId";"test name";"dim";"algo";"running time (s)";"comparsions count"
"31";"parallel fronts";"1000";"my";"0,001157";"34820"
"31";"parallel fronts";"1000";"ENLU";"0,001799";"75278"
"31";"parallel fronts";"1000";"NSGA2";"0,019174";"999000"
"31";"circle fronts";"1000";"my";"0,003845";"107652"
"31";"circle fronts";"1000";"ENLU";"0,05625";"453277"
"31";"circle fronts";"1000";"NSGA2";"0,022673";"999000"
"31";"stripe";"1000";"my";"0,003749";"93199"
"31";"stripe";"1000";"ENLU";"0,0396";"247946"
"31";"stripe";"1000";"NSGA2";"0,02226";"999000"
"31";"diag";"1000";"my";"0,000425";"16973"
"31";"diag";"1000";"ENLU";"0,000397";"999"
"31";"diag";"1000";"NSGA2";"0,017469";"999000"
"32";"square";"1000";"my";"0,002077";"57160"
"32";"square";"1000";"ENLU";"0,012396";"192035"
